bus0,carrier,p_nom_opt
FR1 16,H2 Electrolysis,0.00570525798408597
FR1 16,H2 Fuel Cell,5.391065259183455e-09
FR1 16,H2 turbine,2.420281726978873e-08
FR1 16,photocatalysis,5.211824823882111e-09
FR1 17,H2 Electrolysis,4.4600772851581154e-08
FR1 17,H2 Fuel Cell,5.149966164382383e-09
FR1 17,H2 turbine,1.973930799921033e-08
FR1 17,photocatalysis,6.466082152423451e-09
FR1 18,H2 Electrolysis,0.03361032219778035
FR1 18,H2 Fuel Cell,5.174365849546796e-09
FR1 18,H2 turbine,2.169165438646457e-08
FR1 18,photocatalysis,5.589358375620145e-09
FR1 19,H2 Electrolysis,0.05869831658338017
FR1 19,H2 Fuel Cell,4.757416703752804e-09
FR1 19,H2 turbine,1.9158393414024584e-08
FR1 19,photocatalysis,1.05627276081074e-08
FR1 2,H2 Electrolysis,9.706057253761886e-08
FR1 2,H2 Fuel Cell,5.134809327747537e-09
FR1 2,H2 turbine,1.9306027665228674e-08
FR1 2,photocatalysis,6.571862220926612e-09
FR1 20,H2 Electrolysis,2.0170097986281222e-08
FR1 20,H2 Fuel Cell,5.459254942552361e-09
FR1 20,H2 turbine,2.293123167471647e-08
FR1 20,photocatalysis,5.733357052350729e-09
FR1 21,H2 Electrolysis,0.0003091581813313147
FR1 21,H2 Fuel Cell,4.797669685097558e-09
FR1 21,H2 turbine,1.9140355183119443e-08
FR1 21,photocatalysis,6.985138613391347e-09
FR1 3,H2 Electrolysis,0.012192081861538657
FR1 3,H2 Fuel Cell,4.950117892492213e-09
FR1 3,H2 turbine,2.1948875042652394e-08
FR1 3,photocatalysis,7.233495278105131e-09
FR1 4,H2 Electrolysis,1.2660395933717335e-07
FR1 4,H2 Fuel Cell,4.918014562171884e-09
FR1 4,H2 turbine,2.0182642594249816e-08
FR1 4,photocatalysis,6.604664154865506e-09
FR1 5,H2 Electrolysis,0.004519091068940525
FR1 5,H2 Fuel Cell,5.396687883811124e-09
FR1 5,H2 turbine,2.237682231897498e-08
FR1 5,photocatalysis,5.404487366774933e-09
FR1 6,H2 Electrolysis,0.07419172433873404
FR1 6,H2 Fuel Cell,5.018178866678822e-09
FR1 6,H2 turbine,2.1798072693988362e-08
FR1 6,photocatalysis,5.422610745326507e-09
FR1 7,H2 Electrolysis,0.07483155920574118
FR1 7,H2 Fuel Cell,5.318495774578272e-09
FR1 7,H2 turbine,2.437644462285081e-08
FR1 7,photocatalysis,5.096008731830658e-09
FR1 8,H2 Electrolysis,0.004228898961534329
FR1 8,H2 Fuel Cell,4.864146041154105e-09
FR1 8,H2 turbine,1.9299477150901195e-08
FR1 8,photocatalysis,7.89260982992847e-09
FR1 9,H2 Electrolysis,0.007374418861402554
FR1 9,H2 Fuel Cell,4.979908544325014e-09
FR1 9,H2 turbine,2.1511871421944718e-08
FR1 9,photocatalysis,5.731842909277631e-09
GB0 0,H2 Electrolysis,0.12304753996898064
GB0 0,H2 Fuel Cell,5.353347972555017e-09
GB0 0,H2 turbine,2.8220820498913438e-08
GB0 0,photocatalysis,4.8045784001701505e-09
GB0 1,H2 Electrolysis,0.018375479406805836
GB0 1,H2 Fuel Cell,5.032840334345421e-09
GB0 1,H2 turbine,2.189716770160178e-08
GB0 1,photocatalysis,4.992996415835602e-09
GB0 10,H2 Electrolysis,0.07258066493405428
GB0 10,H2 Fuel Cell,5.434716946881626e-09
GB0 10,H2 turbine,2.760395387053899e-08
GB0 10,photocatalysis,4.941434824391062e-09
GB0 11,H2 Electrolysis,0.09559418046220895
GB0 11,H2 Fuel Cell,4.926460908093076e-09
GB0 11,H2 turbine,2.1056956803054676e-08
GB0 11,photocatalysis,4.744915339825684e-09
GB0 12,H2 Electrolysis,0.1229674586723817
GB0 12,H2 Fuel Cell,5.3487742045674775e-09
GB0 12,H2 turbine,2.6764882967995576e-08
GB0 12,photocatalysis,4.340467395487393e-09
GB0 13,H2 Electrolysis,0.08748326431273179
GB0 13,H2 Fuel Cell,4.56960809081553e-09
GB0 13,H2 turbine,1.9567126687722964e-08
GB0 13,photocatalysis,3.9755496653540875e-09
GB0 14,H2 Electrolysis,0.002629324760312429
GB0 14,H2 Fuel Cell,5.438018722422196e-09
